state,state_po,county_str,office,special,candidate,party,writein,candidatevotes,won,MOV16,MOV18,18to16swing
California,CA,inyo_ca,US Senator,False,Dianne Feinstein,democrat,False,2344.0,False,-0.13669334667300004,1.0,1.136693346673
California,CA,inyo_ca,US Senator,False,Kevin De Leon,democrat,False,3532.0,True,-0.13669334667300004,1.0,1.136693346673
California,CA,kern_ca,US Senator,False,Dianne Feinstein,democrat,False,66628.0,False,-0.15011137903400007,1.0,1.150111379034
California,CA,kern_ca,US Senator,False,Kevin De Leon,democrat,False,99981.0,True,-0.15011137903400007,1.0,1.150111379034
California,CA,kings_ca,US Senator,False,Dianne Feinstein,democrat,False,9599.0,False,-0.14089922480600003,1.0,1.1408992248060001
California,CA,kings_ca,US Senator,False,Kevin De Leon,democrat,False,15748.0,True,-0.14089922480600003,1.0,1.1408992248060001
California,CA,lake_ca,US Senator,False,Dianne Feinstein,democrat,False,8142.0,False,0.037408968953,1.0,0.9625910310470001
California,CA,lake_ca,US Senator,False,Kevin De Leon,democrat,False,10317.0,True,0.037408968953,1.0,0.9625910310470001
California,CA,lassen_ca,US Senator,False,Dianne Feinstein,democrat,False,2030.0,False,-0.513337171368,1.0,1.513337171368
California,CA,lassen_ca,US Senator,False,Kevin De Leon,democrat,False,4788.0,True,-0.513337171368,1.0,1.513337171368
California,CA,losangeles_ca,US Senator,False,Dianne Feinstein,democrat,False,1565167.0,True,0.480184927106,1.0,0.519815072894
California,CA,losangeles_ca,US Senator,False,Kevin De Leon,democrat,False,1146044.0,False,0.480184927106,1.0,0.519815072894
California,CA,madera_ca,US Senator,False,Dianne Feinstein,democrat,False,13284.0,False,-0.17330648221100003,1.0,1.173306482211
California,CA,madera_ca,US Senator,False,Kevin De Leon,democrat,False,19032.0,True,-0.17330648221100003,1.0,1.173306482211
California,CA,marin_ca,US Senator,False,Dianne Feinstein,democrat,False,80319.0,True,0.6286917528489999,1.0,0.3713082471510001
California,CA,marin_ca,US Senator,False,Kevin De Leon,democrat,False,42638.0,False,0.6286917528489999,1.0,0.3713082471510001
California,CA,mariposa_ca,US Senator,False,Dianne Feinstein,democrat,False,2749.0,False,-0.23239833277,1.0,1.2323983327699999
California,CA,mariposa_ca,US Senator,False,Kevin De Leon,democrat,False,3939.0,True,-0.23239833277,1.0,1.2323983327699999
California,CA,mendocino_ca,US Senator,False,Dianne Feinstein,democrat,False,15113.0,False,0.29156099693899995,1.0,0.708439003061
California,CA,mendocino_ca,US Senator,False,Kevin De Leon,democrat,False,15529.0,True,0.29156099693899995,1.0,0.708439003061
California,CA,merced_ca,US Senator,False,Dianne Feinstein,democrat,False,23659.0,False,0.07925122874699997,1.0,0.920748771253
California,CA,merced_ca,US Senator,False,Kevin De Leon,democrat,False,27985.0,True,0.07925122874699997,1.0,0.920748771253
California,CA,modoc_ca,US Senator,False,Dianne Feinstein,democrat,False,751.0,False,-0.48079785650499995,1.0,1.480797856505
California,CA,modoc_ca,US Senator,False,Kevin De Leon,democrat,False,1867.0,True,-0.48079785650499995,1.0,1.480797856505
California,CA,mono_ca,US Senator,False,Dianne Feinstein,democrat,False,2001.0,False,0.11951882033400002,1.0,0.8804811796659999
California,CA,mono_ca,US Senator,False,Kevin De Leon,democrat,False,2197.0,True,0.11951882033400002,1.0,0.8804811796659999
California,CA,monterey_ca,US Senator,False,Dianne Feinstein,democrat,False,56320.0,True,0.39673755637299996,1.0,0.603262443627
California,CA,monterey_ca,US Senator,False,Kevin De Leon,democrat,False,50562.0,False,0.39673755637299996,1.0,0.603262443627
California,CA,napa_ca,US Senator,False,Dianne Feinstein,democrat,False,27904.0,True,0.35191741143300004,1.0,0.648082588567
California,CA,napa_ca,US Senator,False,Kevin De Leon,democrat,False,23290.0,False,0.35191741143300004,1.0,0.648082588567
California,CA,nevada_ca,US Senator,False,Dianne Feinstein,democrat,False,22198.0,False,0.045492813758999995,1.0,0.954507186241
California,CA,nevada_ca,US Senator,False,Kevin De Leon,democrat,False,23911.0,True,0.045492813758999995,1.0,0.954507186241
California,CA,orange_ca,US Senator,False,Dianne Feinstein,democrat,False,501678.0,True,0.07680044976899997,1.0,0.923199550231
California,CA,orange_ca,US Senator,False,Kevin De Leon,democrat,False,420814.0,False,0.07680044976899997,1.0,0.923199550231
California,CA,placer_ca,US Senator,False,Dianne Feinstein,democrat,False,66578.0,False,-0.11298594318800004,1.0,1.112985943188
California,CA,placer_ca,US Senator,False,Kevin De Leon,democrat,False,76733.0,True,-0.11298594318800004,1.0,1.112985943188
California,CA,plumas_ca,US Senator,False,Dianne Feinstein,democrat,False,2815.0,False,-0.21007927519800002,1.0,1.210079275198
California,CA,plumas_ca,US Senator,False,Kevin De Leon,democrat,False,4428.0,True,-0.21007927519800002,1.0,1.210079275198
California,CA,riverside_ca,US Senator,False,Dianne Feinstein,democrat,False,269567.0,False,0.04334476281899996,1.0,0.956655237181
California,CA,riverside_ca,US Senator,False,Kevin De Leon,democrat,False,278409.0,True,0.04334476281899996,1.0,0.956655237181
California,CA,sacramento_ca,US Senator,False,Dianne Feinstein,democrat,False,241571.0,True,0.236872387846,1.0,0.763127612154
California,CA,sacramento_ca,US Senator,False,Kevin De Leon,democrat,False,213949.0,False,0.236872387846,1.0,0.763127612154
California,CA,sanbenito_ca,US Senator,False,Dianne Feinstein,democrat,False,8607.0,False,0.203676303209,1.0,0.796323696791
California,CA,sanbenito_ca,US Senator,False,Kevin De Leon,democrat,False,9371.0,True,0.203676303209,1.0,0.796323696791
California,CA,sanbernardino_ca,US Senator,False,Dianne Feinstein,democrat,False,233103.0,False,0.09779001741799997,1.0,0.902209982582
California,CA,sanbernardino_ca,US Senator,False,Kevin De Leon,democrat,False,233360.0,True,0.09779001741799997,1.0,0.902209982582
California,CA,sandiego_ca,US Senator,False,Dianne Feinstein,democrat,False,526628.0,True,0.17835795150700007,1.0,0.8216420484929999
California,CA,sandiego_ca,US Senator,False,Kevin De Leon,democrat,False,468564.0,False,0.17835795150700007,1.0,0.8216420484929999
California,CA,sanfrancisco_ca,US Senator,False,Dianne Feinstein,democrat,False,226167.0,True,0.7608918819032999,1.0,0.23910811809670007
California,CA,sanfrancisco_ca,US Senator,False,Kevin De Leon,democrat,False,125954.0,False,0.7608918819032999,1.0,0.23910811809670007
