year,state,state_po,county,office,district,stage,special,candidate,party,writein,candidatevotes
2018,California,CA,Modoc,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,1867.0
2018,California,CA,Mono,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,2001.0
2018,California,CA,Mono,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,2197.0
2018,California,CA,Monterey,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,56320.0
2018,California,CA,Monterey,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,50562.0
2018,California,CA,Napa,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,27904.0
2018,California,CA,Napa,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,23290.0
2018,California,CA,Nevada,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,22198.0
2018,California,CA,Nevada,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,23911.0
2018,California,CA,Orange,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,501678.0
2018,California,CA,Orange,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,420814.0
2018,California,CA,Placer,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,66578.0
2018,California,CA,Placer,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,76733.0
2018,California,CA,Plumas,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,2815.0
2018,California,CA,Plumas,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,4428.0
2018,California,CA,Riverside,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,269567.0
2018,California,CA,Riverside,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,278409.0
2018,California,CA,Sacramento,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,241571.0
2018,California,CA,Sacramento,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,213949.0
2018,California,CA,San Benito,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,8607.0
2018,California,CA,San Benito,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,9371.0
2018,California,CA,San Bernardino,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,233103.0
2018,California,CA,San Bernardino,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,233360.0
2018,California,CA,San Diego,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,526628.0
2018,California,CA,San Diego,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,468564.0
2018,California,CA,San Francisco,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,226167.0
2018,California,CA,San Francisco,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,125954.0
2018,California,CA,San Joaquin,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,79088.0
2018,California,CA,San Joaquin,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,92351.0
2018,California,CA,San Luis Obispo,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,53242.0
2018,California,CA,San Luis Obispo,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,54027.0
2018,California,CA,San Mateo,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,168679.0
2018,California,CA,San Mateo,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,99136.0
2018,California,CA,Santa Barbara,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,75274.0
2018,California,CA,Santa Barbara,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,61217.0
2018,California,CA,Santa Clara,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,339866.0
2018,California,CA,Santa Clara,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,228642.0
2018,California,CA,Santa Cruz,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,64178.0
2018,California,CA,Santa Cruz,US Senator,statewide,gen,False,Kevin De Leon,democrat,False,47416.0
2018,California,CA,Shasta,US Senator,statewide,gen,False,Dianne Feinstein,democrat,False,19397.0
